title,link,status,policy_type,policy_year,policy_id,policy_summary,source,tags,policy_length,word_count
"Regulation (EU) 2024/795 of the European Parliament and of the Council of 29 February 2024 establishing the Strategic Technologies for Europe Platform (STEP), and amending Directive 2003/87/EC and Regulations (EU) 2021/1058, (EU) 2021/1056, (EU) 2021/1057, (EU) No 1303/2013, (EU) No 223/2014, (EU) 2021/1060, (EU) 2021/523, (EU) 2021/695, (EU) 2021/697 and (EU) 2021/241",https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32024R0795&qid=1783311980937&rid=7,In force,REGULATION,2024,32024R0795,"establishing the Strategic Technologies for Europe Platform (STEP), and amending Directive 2003/87/EC and Regulations (EU) 2021/1058, (EU) 2021/1056, (EU) 2021/1057, (EU) No 1303/2013, (EU) No 223/2014, (EU) 2021/1060, (EU) 2021/523, (EU) 2021/695, (EU) 2021/697 and (EU) 2021/241",EUR-Lex,[],372,52
Regulation (EU) 2023/2631 of the European Parliament and of the Council of 22 November 2023 on European Green Bonds and optional disclosures for bonds marketed as environmentally sustainable and for sustainability-linked bonds (Text with EEA relevance),https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32023R2631&qid=1783311980937&rid=1,In force,REGULATION,2023,32023R2631,on European Green Bonds and optional disclosures for bonds marketed as environmentally sustainable and for sustainability-linked bonds,EUR-Lex,"['Environment', 'Green Deal']",253,36
Decision (EU) 2022/591 of the European Parliament and of the Council of 6 April 2022 on a General Union Environment Action Programme to 2030,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32022D0591&qid=1783311980937&rid=3,In force,DECISION,2022,32022D0591,on a General Union Environment Action Programme to 2030,EUR-Lex,['Environment'],141,24
Decision (EU) 2022/2481 of the European Parliament and of the Council of 14 December 2022 establishing the Digital Decade Policy Programme 2030 (Text with EEA relevance),https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32022D2481&qid=1783311980937&rid=6,In force,DECISION,2022,32022D2481,establishing the Digital Decade Policy Programme 2030,EUR-Lex,['Digital'],170,26
"Regulation (EU) 2022/2379 of the European Parliament and of the Council of 23 November 2022 on statistics on agricultural input and output, amending Commission Regulation (EC) No 617/2008 and repealing Regulations (EC) No 1165/2008, (EC) No 543/2009 and (EC) No 1185/2009 of the European Parliament and of the Council and Council Directive 96/16/EC (Text with EEA relevance)",https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32022R2379&qid=1783311980937&rid=9,In force,REGULATION,2022,32022R2379,"on statistics on agricultural input and output, amending Commission Regulation (EC) No 617/2008 and repealing Regulations (EC) No 1165/2008, (EC) No 543/2009 and (EC) No 1185/2009 of the European Parliament and of the Council and Council Directive 96/16/EC",EUR-Lex,[],375,57
Regulation (EU) 2021/1119 of the European Parliament and of the Council of 30 June 2021 establishing the framework for achieving climate neutrality and amending Regulations (EC) No 401/2009 and (EU) 2018/1999 (‘European Climate Law’),https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32021R1119&qid=1783311980937&rid=4,In force,REGULATION,2021,32021R1119,establishing the framework for achieving climate neutrality and amending Regulations (EC) No 401/2009 and (EU) 2018/1999 (‘European Climate Law’),EUR-Lex,['Climate'],234,34
Regulation (EU) 2021/1056 of the European Parliament and of the Council of 24 June 2021 establishing the Just Transition Fund,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32021R1056&qid=1783311980937&rid=5,In force,REGULATION,2021,32021R1056,establishing the Just Transition Fund,EUR-Lex,[],126,20
Regulation (EU) 2021/1229 of the European Parliament and of the Council of 14 July 2021 on the public sector loan facility under the Just Transition Mechanism,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32021R1229&qid=1783311980937&rid=8,In force,REGULATION,2021,32021R1229,on the public sector loan facility under the Just Transition Mechanism,EUR-Lex,[],159,26
Decision (EU) 2021/2316 of the European Parliament and of the Council of 22 December 2021 on a European Year of Youth (2022) (Text with EEA relevance),https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32021D2316&qid=1783311980937&rid=10,In force,DECISION,2021,32021D2316,on a European Year of Youth (2022),EUR-Lex,['Youth'],151,26
Decision (EU) 2020/2228 of the European Parliament and of the Council of 23 December 2020 on a European Year of Rail (2021),https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32020D2228&qid=1783311980937&rid=2,In force,DECISION,2020,32020D2228,on a European Year of Rail (2021),EUR-Lex,['Transport'],124,22
